10000,1000000,trial,model
0.001428842544555664,0.13618016242980957,1,FlatL2
0.0028276443481445312,0.12816333770751953,1,FlatIP
0.0004553794860839844,0.1346745491027832,2,FlatL2
0.0009219646453857422,0.13002610206604004,2,FlatIP
