10000,12589,trial,model
0.0017139911651611328,0.0010488033294677734,1,FlatL2
0.0017452239990234375,0.0006129741668701172,1,FlatIP
0.0003764629364013672,0.0005083084106445312,1,FlatL2_PCA
0.0029463768005371094,0.001547098159790039,1,IVF
0.008127450942993164,0.010973215103149414,1,IVF-PQ
0.19338703155517578,0.26487207412719727,1,HNSWFlat
1.0980498790740967,1.3433499336242676,1,Binary-HNSW
0.0003800392150878906,0.0005178451538085938,2,FlatL2
0.0005052089691162109,0.0011286735534667969,2,FlatIP
0.00035452842712402344,0.0002837181091308594,2,FlatL2_PCA
0.003375530242919922,0.004494428634643555,2,IVF
0.008681774139404297,0.01098012924194336,2,IVF-PQ
0.21558642387390137,0.26241302490234375,2,HNSWFlat
1.0759685039520264,1.3848493099212646,2,Binary-HNSW
