10000,12589,trial,model
0.01576828956604004,0.014600753784179688,1,FlatL2
0.015059232711791992,0.01870274543762207,1,FlatIP
0.013637542724609375,0.020389318466186523,1,FlatL2_PCA
0.001996755599975586,0.002763986587524414,1,IVF
0.0014467239379882812,0.0027070045471191406,1,IVF-PQ
0.006439685821533203,0.005244731903076172,1,HNSWFlat
0.0022881031036376953,0.0016074180603027344,1,Binary-HNSW
0.013778448104858398,0.014789581298828125,2,FlatL2
0.011700868606567383,0.01290583610534668,2,FlatIP
0.006783485412597656,0.006692647933959961,2,FlatL2_PCA
0.003179311752319336,0.0063021183013916016,2,IVF
0.0017464160919189453,0.002255678176879883,2,IVF-PQ
0.005287647247314453,0.00644373893737793,2,HNSWFlat
0.0016810894012451172,0.002424001693725586,2,Binary-HNSW
